Timestamp,Node ID,Suhu (C),Kelembapan (%RH),Tekanan (hPa),Kecepatan Angin (m/s),Arah Angin (derajat),Cahaya (lux),Radiasi (W/m2),PM2.5 (ug/m3),PM10 (ug/m3),Ion Negatif (pcs/cm3)
"30/7/2026, 00.00.00","E32_WS (Sector A)","28.43","66.91","101.08","0.49","326","50.12","2","0","0","1","138"
"30/7/2026, 00.00.05","E32_WS (Sector A)","28.42","67.02","101.08","0.49","324","50.12","2","0","0","1","138"
"30/7/2026, 00.00.10","E32_WS (Sector A)","28.43","67.09","101.09","0.5","328","50.12","2","0","0","1","138"
"30/7/2026, 00.00.15","E32_WS (Sector A)","28.43","67.12","101.09","0.45","329","50.12","2","0","0","1","138"
"30/7/2026, 00.00.20","E32_WS (Sector A)","28.43","67.1","101.09","0.49","340","50.12","2","0","0","1","138"
"30/7/2026, 00.00.25","E32_WS (Sector A)","28.43","67.08","101.09","0.53","340","50.12","2","0","0","1","138"
"30/7/2026, 00.00.30","E32_WS (Sector A)","28.43","67.04","101.08","0.49","341","50.12","2","0","0","1","138"
"30/7/2026, 00.00.35","E32_WS (Sector A)","28.43","67.01","101.09","0.4","343","50.12","2","0","0","1","138"
"30/7/2026, 00.00.40","E32_WS (Sector A)","28.43","66.97","101.09","0.38","342","50.12","2","0","0","1","138"
"30/7/2026, 00.00.45","E32_WS (Sector A)","28.43","66.92","101.09","0.45","330","50.12","2","0","0","1","138"
"30/7/2026, 00.00.50","E32_WS (Sector A)","28.43","66.98","101.09","0.5","322","50.12","2","0","0","1","138"
"30/7/2026, 00.00.55","E32_WS (Sector A)","28.43","67.02","101.09","0.45","327","50.12","2","0","0","1","138"
"30/7/2026, 00.01.00","E32_WS (Sector A)","28.42","67.05","101.08","0.44","326","50.12","2","0","0","1","138"
"30/7/2026, 00.01.05","E32_WS (Sector A)","28.43","67.07","101.09","0.44","327","50.12","2","0","0","1","138"
"30/7/2026, 00.01.10","E32_WS (Sector A)","28.42","67.09","101.09","0.39","345","50.12","2","0","0","1","138"
"30/7/2026, 00.01.15","E32_WS (Sector A)","28.43","67.04","101.09","0.38","352","50.12","2","0","0","1","138"
"30/7/2026, 00.01.20","E32_WS (Sector A)","28.43","66.98","101.09","0.49","345","50.12","2","0","0","1","138"
"30/7/2026, 00.01.25","E32_WS (Sector A)","28.43","66.96","101.09","0.48","342","50.12","2","0","0","1","138"
"30/7/2026, 00.01.30","E32_WS (Sector A)","28.43","67","101.09","0.45","326","50.12","2","0","0","1","138"
"30/7/2026, 00.01.35","E32_WS (Sector A)","28.43","67.08","101.09","0.45","328","50.12","2","0","0","1","138"
"30/7/2026, 00.01.40","E32_WS (Sector A)","28.43","67.1","101.08","0.42","332","50.12","2","0","0","1","138"
"30/7/2026, 00.01.45","E32_WS (Sector A)","28.43","67.12","101.09","0.43","326","50.12","2","0","0","1","138"
"30/7/2026, 00.01.50","E32_WS (Sector A)","28.43","67.12","101.08","0.42","337","50.12","2","0","0","1","138"
"30/7/2026, 00.01.55","E32_WS (Sector A)","28.42","67.09","101.08","0.46","331","50.12","2","0","0","1","138"
"30/7/2026, 00.02.00","E32_WS (Sector A)","28.42","67.09","101.08","0.46","334","50.12","2","0","0","1","138"
"30/7/2026, 00.02.05","E32_WS (Sector A)","28.42","67.08","101.09","0.45","336","50.12","2","0","0","1","138"
"30/7/2026, 00.02.10","E32_WS (Sector A)","28.43","67.07","101.09","0.48","339","50.12","2","0","0","1","138"
"30/7/2026, 00.02.15","E32_WS (Sector A)","28.43","67.08","101.09","0.48","342","50.12","2","0","0","1","138"
"30/7/2026, 00.02.20","E32_WS (Sector A)","28.43","67.07","101.09","0.47","332","50.12","2","0","0","1","138"
"30/7/2026, 00.02.25","E32_WS (Sector A)","28.43","67.07","101.09","0.41","320","50.12","2","0","0","1","138"
"30/7/2026, 00.02.30","E32_WS (Sector A)","28.42","67.12","101.09","0.49","331","50.12","2","0","0","1","138"
"30/7/2026, 00.02.35","E32_WS (Sector A)","28.42","67.12","101.09","0.46","327","50.12","2","0","0","1","138"
"30/7/2026, 00.02.40","E32_WS (Sector A)","28.42","67.11","101.09","0.46","336","50.12","2","0","0","1","138"
"30/7/2026, 00.02.45","E32_WS (Sector A)","28.42","67.1","101.09","0.49","342","50.12","2","0","0","1","138"
"30/7/2026, 00.02.50","E32_WS (Sector A)","28.42","67.06","101.09","0.5","346","50.12","2","0","0","1","138"
"30/7/2026, 00.02.55","E32_WS (Sector A)","28.42","67.02","101.09","0.52","348","50.12","2","0","0","1","138"
"30/7/2026, 00.03.00","E32_WS (Sector A)","28.42","67.01","101.09","0.44","7","50.12","2","0","0","1","138"
"30/7/2026, 00.03.05","E32_WS (Sector A)","28.42","66.97","101.09","0.43","355","50.12","2","0","0","1","138"
"30/7/2026, 00.03.10","E32_WS (Sector A)","28.42","66.91","101.09","0.32","346","50.12","2","0","0","1","138"
"30/7/2026, 00.03.15","E32_WS (Sector A)","28.43","66.89","101.09","0.44","346","50.12","2","0","0","1","138"
"30/7/2026, 00.03.20","E32_WS (Sector A)","28.43","66.89","101.09","0.4","356","50.12","2","0","0","1","138"
"30/7/2026, 00.03.25","E32_WS (Sector A)","28.43","66.86","101.09","0.47","341","50.12","2","0","0","1","138"
"30/7/2026, 00.03.30","E32_WS (Sector A)","28.43","66.96","101.09","0.37","323","50.12","2","0","0","1","138"
"30/7/2026, 00.03.35","E32_WS (Sector A)","28.42","67.07","101.09","0.4","326","50.12","2","0","0","1","138"
"30/7/2026, 00.03.40","E32_WS (Sector A)","28.42","67.12","101.08","0.39","332","50.12","2","0","0","1","138"
"30/7/2026, 00.03.45","E32_WS (Sector A)","28.42","67.1","101.09","0.37","340","50.12","2","0","0","1","138"
"30/7/2026, 00.03.50","E32_WS (Sector A)","28.42","67.06","101.09","0.37","348","50.12","2","0","0","1","138"
"30/7/2026, 00.03.55","E32_WS (Sector A)","28.42","67.02","101.09","0.41","346","50.12","2","0","0","1","138"
"30/7/2026, 00.04.00","E32_WS (Sector A)","28.42","66.99","101.08","0.41","344","50.12","2","0","0","1","138"
"30/7/2026, 00.04.05","E32_WS (Sector A)","28.43","66.95","101.09","0.42","337","50.12","2","0","0","1","138"
"30/7/2026, 00.04.10","E32_WS (Sector A)","28.43","66.99","101.09","0.44","336","50.12","2","0","0","1","138"
"30/7/2026, 00.04.15","E32_WS (Sector A)","28.43","66.99","101.09","0.55","345","50.12","2","0","0","1","138"
"30/7/2026, 00.04.20","E32_WS (Sector A)","28.42","66.94","101.09","0.44","345","50.12","2","0","0","1","138"
"30/7/2026, 00.04.25","E32_WS (Sector A)","28.43","66.92","101.09","0.4","344","50.12","2","0","0","1","138"
"30/7/2026, 00.04.30","E32_WS (Sector A)","28.43","66.92","101.09","0.4","347","50.12","2","0","0","1","138"
"30/7/2026, 00.04.35","E32_WS (Sector A)","28.43","66.89","101.09","0.36","343","50.12","2","0","0","1","138"
"30/7/2026, 00.04.40","E32_WS (Sector A)","28.43","66.86","101.09","0.39","335","50.12","2","0","0","1","138"
"30/7/2026, 00.04.45","E32_WS (Sector A)","28.42","66.93","101.09","0.43","317","50.12","2","0","0","1","138"
"30/7/2026, 00.04.50","E32_WS (Sector A)","28.43","67.06","101.09","0.4","329","50.12","2","0","0","1","138"
"30/7/2026, 00.04.55","E32_WS (Sector A)","28.43","67.09","101.09","0.41","335","50.12","2","0","0","1","138"
"30/7/2026, 00.05.00","E32_WS (Sector A)","28.43","67.1","101.09","0.44","332","50.12","2","0","0","1","138"
"30/7/2026, 00.05.05","E32_WS (Sector A)","28.42","67.09","101.09","0.47","332","50.12","2","0","0","1","138"
"30/7/2026, 00.05.10","E32_WS (Sector A)","28.43","67.12","101.09","0.54","337","50.12","2","0","0","1","138"
"30/7/2026, 00.05.15","E32_WS (Sector A)","28.43","67.09","101.09","0.47","353","50.12","2","0","0","1","138"
"30/7/2026, 00.05.20","E32_WS (Sector A)","28.43","67.09","101.09","0.46","336","50.12","2","0","0","1","138"
"30/7/2026, 00.05.25","E32_WS (Sector A)","28.42","67.08","101.09","0.45","341","50.12","2","0","0","1","138"
"30/7/2026, 00.05.30","E32_WS (Sector A)","28.42","67.08","101.09","0.49","343","50.12","2","0","0","1","138"
"30/7/2026, 00.05.35","E32_WS (Sector A)","28.43","67.07","101.09","0.54","344","50.12","2","0","0","1","138"
"30/7/2026, 00.05.40","E32_WS (Sector A)","28.42","67.02","101.09","0.43","350","50.12","2","0","0","1","138"
"30/7/2026, 00.05.45","E32_WS (Sector A)","28.43","66.98","101.09","0.45","356","50.12","2","0","0","1","138"
"30/7/2026, 00.05.50","E32_WS (Sector A)","28.43","66.97","101.09","0.51","345","50.12","2","0","0","1","138"
"30/7/2026, 00.05.55","E32_WS (Sector A)","28.43","66.98","101.09","0.41","332","50.12","2","0","0","1","138"
"30/7/2026, 00.06.00","E32_WS (Sector A)","28.43","67.04","101.09","0.39","328","50.12","2","0","0","1","138"
"30/7/2026, 00.06.05","E32_WS (Sector A)","28.43","67.09","101.09","0.4","326","50.12","2","0","0","1","138"
"30/7/2026, 00.06.10","E32_WS (Sector A)","28.43","67.14","101.09","0.39","335","50.12","2","0","0","1","138"
"30/7/2026, 00.06.15","E32_WS (Sector A)","28.42","67.14","101.09","0.42","329","50.12","2","0","0","1","138"
"30/7/2026, 00.06.20","E32_WS (Sector A)","28.43","67.15","101.09","0.39","337","50.12","2","0","0","1","138"
"30/7/2026, 00.06.25","E32_WS (Sector A)","28.42","67.14","101.09","0.44","333","50.12","2","0","0","1","138"
"30/7/2026, 00.06.30","E32_WS (Sector A)","28.43","67.12","101.09","0.44","339","50.12","2","0","0","1","138"
"30/7/2026, 00.06.35","E32_WS (Sector A)","28.43","67.08","101.09","0.41","338","50.12","2","0","0","1","138"
"30/7/2026, 00.06.40","E32_WS (Sector A)","28.42","67.04","101.09","0.42","347","50.12","2","0","0","1","138"
"30/7/2026, 00.06.45","E32_WS (Sector A)","28.42","67.01","101.09","0.4","336","50.12","2","0","0","1","138"
"30/7/2026, 00.06.50","E32_WS (Sector A)","28.42","67","101.09","0.38","332","50.12","2","0","0","1","138"
"30/7/2026, 00.06.55","E32_WS (Sector A)","28.43","67.03","101.09","0.43","331","50.12","2","0","0","1","138"
"30/7/2026, 00.07.00","E32_WS (Sector A)","28.43","67.09","101.09","0.44","329","50.12","2","0","0","1","138"
"30/7/2026, 00.07.05","E32_WS (Sector A)","28.42","67.12","101.09","0.46","328","50.12","2","0","0","1","138"
"30/7/2026, 00.07.10","E32_WS (Sector A)","28.42","67.14","101.09","0.53","331","50.12","2","0","0","1","138"
"30/7/2026, 00.07.15","E32_WS (Sector A)","28.42","67.18","101.09","0.53","336","50.12","2","0","0","1","138"
